Ranking,Link,Product Name,Manufacturer,Country of Origin,Item Weight,Price,Number of Customer Ratings,Number of Reviews,Average Rating (out of 5)
0,https://www.bigbasket.com/pd/40195547/colgate-maxfresh-toothpaste-blue-gel-with-menthol-for-super-fresh-breath-peppermint-ice-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate MaxFresh Toothpaste - Blue Gel With Menthol For Super Fresh Breath, Peppermint Ice, 150 g (Pack of 4) ",Colgate,India,150 g,Rs 288.40,2466,28,4.2
1,https://www.bigbasket.com/pd/280088/pepsodent-germicheck-12h-germ-protection-toothpaste-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Germicheck+ 12h Germ Protection Toothpaste, 200 g  ",Pepsodent,India,200 g,Rs 78,697,7,4.2
2,https://www.bigbasket.com/pd/285406/vicco-vajradanti-ayurvedic-medicine-for-gums-teeth-100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Vicco  Vajradanti - Ayurvedic Medicine For Gums & Teeth, 100 g  ",Vicco ,India,100 g,Rs 73,3154,120,4.4
3,https://www.bigbasket.com/pd/40186855/colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath-500-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Strong Teeth Anticavity Toothpaste - With Amino Shakti Formula, Provides Fresher Breath, 500 g  ",Colgate,Origin not found,500 g,Rs 184,4246,46,4.2
4,https://www.bigbasket.com/pd/40007304/himalaya-complete-care-toothpaste-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Himalaya Complete Care Toothpaste, 150 g  ",Himalaya,Origin not found,150 g,Rs 68,3354,103,4.3
5,https://www.bigbasket.com/pd/40050792/dabur-red-indias-no1-ayurvedic-fluroide-free-paste-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dabur Red India's No.1 Ayurvedic Fluroide Free Paste, 200 g (Pack of 2) ",Dabur Red,Origin not found,200 g,Rs 153.09,6887,176,4.3
6,https://www.bigbasket.com/pd/40165196/lever-ayush-anti-cavity-clove-oil-toothpaste-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Lever Ayush Anti Cavity Clove Oil Toothpaste, 150 g (Pack of 2) ",Lever Ayush,Origin not found,150 g,Rs 119.70,450,18,4.3
7,https://www.bigbasket.com/pd/306166/close-up-ever-fresh-red-hot-anti-germ-gel-toothpaste-40-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Close Up Ever Fresh Red Hot Anti Germ Gel Toothpaste, 40 g  ",Close Up,India,40 g,Rs 20,4235,103,4.3
8,https://www.bigbasket.com/pd/40215312/colgate-total-whole-mouth-health-advanced-toothpaste-240-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Total Whole Mouth Health Advanced Toothpaste, 240 g  ",Colgate,Origin not found,240 g,Rs 179,3655,97,4.2
9,https://www.bigbasket.com/pd/40000352/colgate-toothpowder-with-calcium-minerals-anti-cavity-200-g-tin/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Toothpowder With Calcium & Minerals, Anti-Cavity, 200 g Tin ",Colgate,India,200 g,Rs 105,990,41,4.3
10,https://www.bigbasket.com/pd/40015901/colgate-visible-white-toothpaste-sparkling-mint-saver-pack-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Visible White Toothpaste - Sparkling Mint, Saver Pack, 200 g  ",Colgate,Origin not found,200 g,Rs 178.50,1931,32,4.3
11,https://www.bigbasket.com/pd/40165197/lever-ayush-whitening-toothpaste-with-rock-salt-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Lever Ayush Whitening Toothpaste With Rock Salt, 150 g (Pack of 2) ",Lever Ayush,Origin not found,150 g,Rs 119.70,210,5,4.4
12,https://www.bigbasket.com/pd/263936/colgate-maxfresh-toothpaste-gel-anticavity-spicy-fresh-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate MaxFresh Toothpaste Gel - Anticavity, Spicy Fresh, 150 g  ",Colgate,Origin not found,Item weight not found,Rs 110,2872,71,4.3
13,https://www.bigbasket.com/pd/100006185/colgate-herbal-anticavity-toothpaste-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Herbal Anticavity Toothpaste, 200 g  ",Colgate,Origin not found,200 g,Rs 107,274,4,4.1
14,https://www.bigbasket.com/pd/40002045/pepsodent-toothpaste-whitening-germicheck-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Toothpaste - Whitening Germicheck, 80 g  ",Pepsodent,India,Item weight not found,Rs 54,232,9,4.3
15,https://www.bigbasket.com/pd/40165198/lever-ayush-freshness-gel-cardamom-toothpaste-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Lever Ayush Freshness Gel Cardamom Toothpaste, 150 g (Pack of 2) ",Lever Ayush,Origin not found,150 g,Rs 107,211,6,4.2
16,https://www.bigbasket.com/pd/263954/colgate-cibaca-toothpaste-anticavity-175-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Cibaca Toothpaste - Anticavity, 175 g  ",Colgate,Origin not found,Item weight not found,Rs 61,902,34,4.3
17,https://www.bigbasket.com/pd/266655/close-up-everfresh-anti-germ-gel-toothpaste-red-hot-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Close Up Everfresh+ Anti-Germ Gel Toothpaste - Red Hot, 150 g (Pack of 2) Save Rs. 20 ",Close Up,India,150 g,Rs 127,1560,13,4.3
18,https://www.bigbasket.com/pd/40000334/colgate-active-salt-toothpaste-100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Active Salt Toothpaste, 100 g  ",Colgate,Origin not found,100 g,Rs 66,1391,12,4.2
19,https://www.bigbasket.com/pd/40025722/pepsodent-germ-protection-clove-salt-toothpaste-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Germ Protection Clove & Salt Toothpaste, 200 g  ",Pepsodent,India,200 g,Rs 77,122,1,4.2
20,https://www.bigbasket.com/pd/274601/listerine-mouthwash-liquid-original-removes-999-germs-500-ml-bottle/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Listerine Mouthwash Liquid - Original, Removes 99.9% Germs, 500 ml Bottle ",Listerine,Origin not found,500 ml,Rs 257,663,25,4.4
21,https://www.bigbasket.com/pd/40231116/colgate-kids-toothpaste-for-2-5-years-healthy-smiles-for-little-teeth-bubblefruit-flavour-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kids Toothpaste - For 2-5 Years, Healthy Smiles For Little Teeth, Bubblefruit Flavour, 80 g  ",Colgate,Origin not found,Item weight not found,Rs 67.50,23,,4.1
22,https://www.bigbasket.com/pd/100223896/colgate-kids-toothpaste-6-years-strawberry-flavour-barbie-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kids Toothpaste - 6+ Years, Strawberry Flavour, Barbie, 80 g  ",Colgate,India,Item weight not found,Rs 125,776,17,4.1
23,https://www.bigbasket.com/pd/40000357/colgate-kids-anticavity-toothpaste-6-years-bubble-fruit-flavour-batman-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kids Anticavity Toothpaste - 6+ Years, Bubble Fruit Flavour, Batman, 80 g  ",Colgate,India,Item weight not found,Rs 103,967,26,4.0
24,https://www.bigbasket.com/pd/40084706/colgate-total-whole-mouth-health-antibacterial-toothpaste-charcoal-deep-clean-saver-pack-120-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Total Whole Mouth Health Antibacterial Toothpaste - Charcoal Deep Clean, Saver Pack, 120 g (Pack of 2) ",Colgate,Origin not found,Item weight not found,Rs 147,379,19,4.4
25,https://www.bigbasket.com/pd/40111788/colgate-toothpaste-total-charcoal-anticavity-120-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Toothpaste - Total Charcoal, Anticavity, 120 g  ",Colgate,Origin not found,Item weight not found,Rs 160,706,22,4.2
26,https://www.bigbasket.com/pd/266810/pepsodent-toothpaste-2-in-1-cavity-protection-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Toothpaste - 2 In 1, Cavity Protection, 150 g  ",Pepsodent,India,Item weight not found,Rs 77.60,326,5,4.2
27,https://www.bigbasket.com/pd/40091090/patanjali-dant-kanti-advance-100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Patanjali Dant Kanti - Advance, 100 g  ",Patanjali,Origin not found,Item weight not found,Rs 90,818,48,4.2
28,https://www.bigbasket.com/pd/40075288/patanjali-dant-kanti-medicated-oral-gel-100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Patanjali Dant Kanti Medicated Oral Gel, 100 g  ",Patanjali,Origin not found,Item weight not found,Rs 45,630,38,4.3
29,https://www.bigbasket.com/pd/40051815/sensodyne-sensitive-toothbrush-with-soft-rounded-bristles-3-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Sensodyne Sensitive Toothbrush - With Soft Rounded Bristles, 2 pcs (Buy 2 Get 1 Free) ",Sensodyne,Origin not found,Item weight not found,Rs 99,4740,151,4.3
30,https://www.bigbasket.com/pd/40029776/mee-mee-toothpaste-for-kids-fluoride-free-strawberry-flavour-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Mee Mee Toothpaste For Kids - Fluoride Free, Strawberry Flavour, 1 pc  ",Mee Mee,Origin not found,1 pc,Rs 117,186,2,4.3
31,https://www.bigbasket.com/pd/40142684/chicco-baby-learn-together-oral-care-set-green-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Chicco Baby Learn Together Oral Care Set - Green, 2 pcs  ",Chicco,Origin not found,Item weight not found,Rs 499,186,2,Average rating not found
32,https://www.bigbasket.com/pd/40103228/oral-b-ultrathin-sensitive-toothbrush-extra-soft-for-gentle-effective-cleaning-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Ultrathin Sensitive Toothbrush - Extra Soft, For Gentle & Effective Cleaning, 2 pcs (Buy 2 Get 2 Free) ",Oral-B,Origin not found,2 pcs,Rs 135,235,11,4.1
33,https://www.bigbasket.com/pd/30008723/oral-b-sensitive-toothbrush-with-extra-soft-bristles-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Sensitive Toothbrush - With Extra Soft Bristles, 2 pcs (Buy 2 Get 2 Free) ",Oral-B,Origin not found,2 pcs,Rs 108,1709,77,4.1
34,https://www.bigbasket.com/pd/20004710/oral-b-toothbrush-all-rounder-cavity-defence-123-medium-1-pc-pouch/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Cavity Defense 123 All Rounder Soft Toothbrush, 1 Pc Pouch ",Oral-B,Origin not found,Item weight not found,Rs 30,299,11,4.0
35,https://www.bigbasket.com/pd/20004707/oral-b-toothbrush-pro-health-sensitive-soft-1-pc-pouch/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Toothbrush Pro Health - Sensitive, Soft, 1 Pc Pouch ",Oral-B,Origin not found,Item weight not found,Rs 90,81,5,3.8
36,https://www.bigbasket.com/pd/20003851/oral-b-criss-cross-anti-plaque-toothbrush-with-flexible-bristles-m-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Criss Cross Anti-Plaque Toothbrush - With Flexible Bristles, M, 2 pcs (Buy 2 & Get 2 Free) ",Oral-B,Origin not found,2 pcs,Rs 144,2578,108,4.1
37,https://www.bigbasket.com/pd/40204447/dabur-red-pulling-oil-ayurvedic-mouthwash-oral-detox-for-teeth-gums-195-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dabur Red Pulling Oil - Ayurvedic Mouthwash, Oral Detox For Teeth & Gums, 195 ml  ",Dabur,Origin not found,Item weight not found,Rs 206.25,130,72,4.4
38,https://www.bigbasket.com/pd/20003847/oral-b-criss-cross-gum-care-toothbrush-with-extra-long-power-tip-bristles-m-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Criss Cross Gum Care Toothbrush - With Extra-Long Power Tip Bristles, M, 2 pcs (Buy 2 Get 2 Free) ",Oral-B,Origin not found,2 pcs,Rs 171,1208,35,4.2
39,https://www.bigbasket.com/pd/277072/listerine-mouthwash-liquid-cool-mint-removes-999-germs-500-ml-bottle/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Listerine Mouthwash Liquid - Cool Mint, Removes 99.9% Germs, 500 ml Bottle ",Listerine,Origin not found,500 ml,Rs 243,4936,133,4.3
40,https://www.bigbasket.com/pd/20003846/oral-b-criss-cross-gum-care-toothbrush-with-extra-long-power-tip-bristles-soft-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Criss Cross Gum Care Toothbrush - With Extra-Long Power Tip Bristles, Soft, 2 pcs (Buy 2 Get 2 Free) ",Oral-B,Origin not found,Item weight not found,Rs 150,299,14,4.1
41,https://www.bigbasket.com/pd/40075153/pedigree-dentastix-dog-treat-oral-care-for-adult-large-breed-25-kg-7-sticks-270-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pedigree Dentastix Daily Oral Care - For Adult Large Breed Dogs, -, 270 g (Weekly Pack) ",Pedigree,Origin not found,Item weight not found,Rs 229.50,223,8,4.4
42,https://www.bigbasket.com/pd/40075152/pedigree-dentastix-dog-treat-oral-care-for-adult-medium-breed-10-25-kg-7-sticks-180-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pedigree Dentastix Daily Oral Care - For Adult Medium Breed Dogs, -, 180 g (Weekly Pack) ",Pedigree,Origin not found,180 g,Rs 170,332,5,4.4
43,https://www.bigbasket.com/pd/40061695/formula-tongue-cleaner-1-pc-carton/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Formula Tongue Cleaner, 1 pc Carton ",Formula,Origin not found,Item weight not found,Rs 55,249,9,4.1
44,https://www.bigbasket.com/pd/40137165/listerine-mouthwash-liquid-cool-mint-with-mild-taste-500-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Listerine Mouthwash Liquid - Cool Mint With Mild Taste, 500 ml  ",Listerine,Origin not found,500 ml,Rs 228,478,21,4.3
45,https://www.bigbasket.com/pd/294357/colgate-mouthwash-plax-complete-care-250-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Mouthwash - Plax, Complete Care, 250 ml  ",Colgate,Origin not found,Item weight not found,Rs 118,186,4,4.5
46,https://www.bigbasket.com/pd/274586/listerine-mouthwash-freshburst-500-ml-bottle/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Listerine Mouthwash - Freshburst, 500 ml Bottle ",Listerine,Origin not found,500 ml,Rs 228,553,23,4.3
47,https://www.bigbasket.com/pd/263911/colgate-mouthwash-plax-freshmint-splash-100-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Mouthwash - Plax, Freshmint Splash, 100 ml  ",Colgate,Origin not found,Item weight not found,Rs 55,577,19,4.3
48,https://www.bigbasket.com/pd/40000359/colgate-mouthwash-plax-freshmint-splash-500-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Mouthwash - Plax, Freshmint Splash, 500 ml  ",Colgate,Origin not found,500 ml,Rs 199.50,742,24,4.3
49,https://www.bigbasket.com/pd/20005540/colgate-mouthwash-fresh-tea-500-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Mouthwash - Fresh Tea, 500 ml  ",Colgate,Origin not found,500 ml,Rs 199.50,1453,43,4.3
50,https://www.bigbasket.com/pd/306163/pepsodent-toothbrush-gum-expert-soft-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Toothbrush - Gum Expert (Soft), 1 pc  ",Pepsodent,Origin not found,Item weight not found,Rs 55,119,7,4.2
51,https://www.bigbasket.com/pd/40019052/pepsodent-toothbrush-germi-check-flexi-action-medium-1-pc-pouch/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Germi Check Flexi Action Medium Toothbrush, 1 pc Pouch ",Pepsodent,Origin not found,Item weight not found,Rs 30,111,3,3.8
52,https://www.bigbasket.com/pd/40000356/colgate-extra-clean-toothbrush-medium-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Extra Clean Toothbrush Medium, 1 pc  ",Colgate,Origin not found,Item weight not found,Rs 20,1415,44,4.1
53,https://www.bigbasket.com/pd/40184955/colgate-slim-soft-toothbrush-soft-gentle-4-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Slim Soft Toothbrush - Soft Gentle, 4 pcs (Buy 2 Get 2 Free) ",Colgate,Origin not found,4 pcs,Rs 120,370,19,4.3
54,https://www.bigbasket.com/pd/40114822/colgate-sensitive-toothbrush-gentle-soft-bristles-4-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Sensitive Toothbrush - Gentle Soft Bristles, 4 pcs  ",Colgate,Origin not found,4 pcs,Rs 74,5453,208,4.2
55,https://www.bigbasket.com/pd/40184954/colgate-slim-soft-charcoal-toothbrush-4-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Slim Soft Charcoal Toothbrush, 4 pcs (Buy 2 Get 2 Free) ",Colgate,Origin not found,4 pcs,Rs 112.50,1567,57,4.2
56,https://www.bigbasket.com/pd/40122860/chicco-dental-kit-gum-gel-with-fingerstall-white-70-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Chicco Dental Kit - Gum Gel with Fingerstall, White, 70 g  ",Chicco,Origin not found,Item weight not found,Rs 454.35,2,,4.0
57,https://www.bigbasket.com/pd/265416/colgate-toothbrush-total-waxed-dental-floss-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Toothbrush - Total, Waxed Dental Floss, 1 pc  ",Colgate,Origin not found,Item weight not found,Rs 75,1101,48,4.3
58,https://www.bigbasket.com/pd/40000605/colgate-toothbrush-superhero-assorted-batmanspiderman-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Toothbrush Superhero Assorted, Batman/Spiderman, 1 pc  ",Colgate,Origin not found,Item weight not found,Rs 71,876,30,4.0
59,https://www.bigbasket.com/pd/40022373/listerine-mouthwash-liquid-cavity-fighter-removes-999-germs-500-ml-bottle/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Listerine Mouthwash Liquid - Cavity Fighter, Removes 99.9% Germs, 500 ml Bottle ",Listerine,Origin not found,500 ml,Rs 268,1480,40,4.3
